session_ID,y_true,y_pred
session_01,0.470049,0.615878
session_02,0.74656,0.756546
session_03,0.794868,0.660981
session_04,0.089423,0.38656
session_05,0.735026,0.702817
session_06,0.664744,0.624464
session_07,0.853809,0.721929
session_08,0.107436,0.406183
session_09,0.369073,0.548608
session_10,0.254515,0.513021
session_11,0.13476,0.479342
session_12,0.188861,0.436494
session_13,0.790485,0.684436
session_14,0.618498,0.736171
session_15,0.923628,0.727299
session_16,0.757458,0.704918
session_17,0.750545,0.694976
session_18,0.629479,0.652838
session_19,0.165302,0.498576
session_20,0.383718,0.593572
session_21,0.549126,0.655432
session_22,0.92806,0.699921
session_23,0.444991,0.612601
session_24,0.225175,0.472094
session_25,0.455347,0.636995
session_26,0.822738,0.726848
session_27,0.677631,0.627629
session_28,0.884088,0.698056
session_29,0.449073,0.58514
session_30,0.732279,0.688243
