session_ID,y_true,y_pred
session_01,0.470049,0.613618
session_02,0.74656,0.7316
session_03,0.794868,0.69452
session_04,0.089423,0.404652
session_05,0.735026,0.7054
session_06,0.664744,0.655911
session_07,0.853809,0.699041
session_08,0.107436,0.375493
session_09,0.369073,0.55618
session_10,0.254515,0.482558
session_11,0.13476,0.465371
session_12,0.188861,0.439452
session_13,0.790485,0.695736
session_14,0.618498,0.706506
session_15,0.923628,0.740891
session_16,0.757458,0.714728
session_17,0.750545,0.680628
session_18,0.629479,0.642021
session_19,0.165302,0.428833
session_20,0.383718,0.595025
session_21,0.549126,0.664101
session_22,0.92806,0.737406
session_23,0.444991,0.624456
session_24,0.225175,0.493152
session_25,0.455347,0.637253
session_26,0.822738,0.710064
session_27,0.677631,0.676132
session_28,0.884088,0.700642
session_29,0.449073,0.588939
session_30,0.732279,0.684044
